StartTime	EndTime	Value
971680	975780	medium shot
975780	982380	neither
982380	987140	medium shot
987140	990100	medium closeup
990100	991980	medium shot
991980	995820	medium closeup
995820	996585	neither
996585	1007820	neither
1007820	1014860	neither
1014860	1026099	closeup
1026099	1031140	medium closeup
1031140	1036380	neither
1036380	1039300	medium closeup
1039300	1048820	neither
1048820	1056740	medium closeup
1056740	1062940	neither
1062940	1065840	medium closeup
1065840	1070140	shoulder closeup
1070140	1072900	closeup
1072900	1075820	medium closeup
1075820	1084700	medium long shot
1084800	1095140	shoulder closeup
1095140	1097556	medium shot,[TO],medium closeup
1097556	1102180	neither
1102180	1106460	long shot
1106460	1110060	neither
1110060	1119260	long shot
1119260	1133980	medium shot
1133980	1137900	neither
1137900	1143900	neither
1143900	1154100	medium closeup
1154100	1167660	medium closeup
1167660	1169380	medium shot
1169380	1171100	shoulder closeup,[TO],medium closeup
1171100	1172739	medium closeup,[TO],shoulder closeup
1172739	1174300	neither
1174300	1176020	neither
1176020	1177300	medium shot
1177300	1178100	shoulder closeup
1178100	1179260	medium long shot
1179260	1180211	medium closeup
1180211	1181680	shoulder closeup
1181680	1182965	closeup
1182965	1183205	neither
1183205	1183445	neither
1183445	1183745	neither
1183745	1183945	neither
1183945	1184145	neither
1184145	1184345	neither
1184345	1184545	neither
1184545	1184745	neither
1184745	1184905	neither
1184905	1185105	neither
1185105	1185305	neither
1185305	1185556	neither
1185556	1185676	neither
1185676	1187734	medium long shot
1187734	1189570	neither
1189570	1189711	neither
1189711	1191871	medium shot,[TO],medium long shot
1191871	1193755	medium shot,long shot
1193755	1194774	medium long shot,medium closeup
1194774	1198300	long shot,[TO],medium long shot
1198300	1201180	medium long shot
1201180	1202880	medium long shot
1202880	1204140	long shot
1204140	1205260	extreme long shot
1205260	1207140	closeup
1207140	1208140	shoulder closeup
1208140	1211260	neither
1211260	1214396	medium long shot,closeup
1214396	1217820	neither
1217820	1220700	shoulder closeup
1220700	1225600	shoulder closeup
1225600	1226289	medium shot
1226289	1230600	medium long shot,long shot
1230600	1234740	long shot
1234740	1241180	shoulder closeup
1241180	1245180	medium closeup
1245180	1247200	medium closeup
1247200	1251543	medium long shot,[TO],long shot
1251543	1255710	medium long shot
1255710	1258020	medium long shot
1258020	1259940	shoulder closeup
1259940	1261980	shoulder closeup
1261980	1263420	closeup
1263420	1265020	closeup
1265020	1266119	closeup
1266119	1272449	neither
1272449	1279025	long shot,medium long shot
1279025	1282900	shoulder closeup
1282900	1287100	medium closeup
1287100	1301780	medium shot
1301780	1313100	medium closeup
1313100	1317020	closeup
1317020	1321180	medium closeup
1321180	1323700	shoulder closeup
1323700	1329620	medium closeup
1329620	1349760	shoulder closeup
1349760	1359500	medium closeup
1359500	1366100	long shot
1366100	1369800	medium long shot
1369800	1372860	shoulder closeup
1372860	1377100	long shot
1377100	1381820	shoulder closeup,[TO],medium closeup
1381820	1391820	medium long shot
1391820	1395580	shoulder closeup
1395580	1399780	medium shot
1399780	1403340	shoulder closeup
1403340	1410860	medium shot
1410860	1416260	medium long shot
1416260	1420060	long shot
1420060	1435180	medium shot
1435180	1438420	medium closeup
1438420	1445980	medium closeup
1445980	1449510	shoulder closeup
1449510	1455780	shoulder closeup
1455780	1459620	medium closeup
1459620	1461340	medium closeup
1461340	1463060	shoulder closeup
1463060	1470300	neither
1470300	1477500	closeup
1477500	1482060	medium shot
1482060	1487140	shoulder closeup
1487140	1490300	medium shot
1490300	1496580	shoulder closeup
1496580	1505820	neither
1505820	1519677	shoulder closeup
1519677	1526860	neither
1526860	1530780	shoulder closeup
1530780	1536709	neither
1536709	1544260	neither
1544260	1548683	medium closeup
1548683	1552660	medium closeup
