StartTime	EndTime	Value
265560	285340	medium shot
285340	287280	medium long shot
287280	289700	medium long shot
289700	292140	medium long shot
292140	294300	long shot
294300	298000	extreme long shot
298000	306920	medium shot,[TO],medium long shot
306920	320700	shoulder closeup
320700	330960	long shot,[TO],medium long shot
330960	339320	neither
339320	341040	medium long shot
341040	342880	medium closeup
342880	344480	medium shot
344480	346680	medium closeup
346680	348820	medium closeup
348820	351560	medium shot
351560	354000	medium long shot
354000	368080	medium closeup
368080	369280	long shot
369280	372760	medium long shot
372760	376840	long shot
