StartTime	EndTime	Value
19200	45480	medium shot
45480	51880	long shot
51880	55520	shoulder closeup
55520	63560	medium closeup
63560	67680	medium long shot
67680	78000	medium closeup
78000	86473	long shot
86473	89360	medium closeup
89360	93480	medium closeup
93480	97400	medium long shot
97400	104160	medium closeup
104160	113200	medium shot,[TO],medium closeup
113200	118018	medium shot,[TO],medium closeup
118018	145680	medium closeup
145680	167760	medium shot
167760	180320	medium closeup,[TO],long shot
180320	183160	medium shot
183160	185480	medium long shot
185480	188520	medium shot
188520	192320	closeup
192320	201600	medium closeup
201600	206920	closeup
206920	210480	medium closeup,[TO],medium long shot
210480	216840	medium shot
216840	224520	medium closeup
224520	227360	medium long shot
227360	230400	long shot
230400	234480	medium long shot
234480	240680	medium long shot
240680	254720	medium closeup
254720	257960	medium long shot
257960	260800	closeup
260800	267120	medium shot,[TO],long shot
