StartTime	EndTime	Value
144000	175760	medium shot
175760	186663	medium shot,[TO],medium long shot
186663	190200	long shot
190200	196800	medium shot,[TO],medium closeup
196800	206320	shoulder closeup
206320	213560	neither
213560	221720	neither
221720	225840	medium shot,[TO],medium closeup
225840	227680	medium closeup
227680	233760	shoulder closeup
233760	235398	long shot
235398	238640	medium closeup
238640	242809	medium long shot
242809	245330	medium shot
245330	254160	shoulder closeup
254160	276560	shoulder closeup
276560	305040	medium shot
305040	310720	medium shot
310720	317760	medium closeup
317760	325120	medium long shot
325120	339920	medium shot
339920	347480	medium shot,[TO],medium long shot
347480	351360	medium closeup
351360	365450	medium shot
365450	380280	medium shot
380280	391560	medium long shot,[TO],medium shot
391560	394160	medium shot
394160	397680	shoulder closeup
397680	401560	medium long shot
401560	409960	closeup,[TO],shoulder closeup
409960	478520	medium shot
478520	488720	long shot
488720	492880	medium closeup
492880	495480	medium shot
495480	504026	medium long shot
504026	508297	medium closeup
508297	512288	medium closeup
512288	514400	long shot
514400	520040	medium closeup
520040	528833	medium closeup,[TO],medium shot
528833	530560	medium long shot
530560	542480	medium closeup
542480	547520	medium long shot,[TO],closeup
547520	571240	medium closeup
