StartTime	EndTime	Value
6640	19880	neither,[TO],medium long shot
19880	42800	medium shot
42800	51864	neither
51864	54360	medium shot
54360	62880	medium shot
62880	65280	shoulder closeup
65280	81520	medium shot
81520	84640	medium shot
84640	88480	medium closeup
88480	98884	medium shot
98884	108320	medium shot
108320	111480	medium shot
111480	114640	medium closeup
114640	130640	medium shot
130640	133960	medium shot
133960	136640	medium shot
136640	148360	medium shot
148360	154821	medium shot
154821	179960	medium shot
179960	182800	medium long shot
182800	185160	closeup
185160	187240	shoulder closeup
187240	190880	closeup,[TO],medium closeup
190880	201360	shoulder closeup
201360	206280	closeup,[TO],medium long shot
206280	213920	medium shot,[TO],closeup
213920	233400	medium closeup
233400	240480	long shot
240480	243240	medium long shot
243240	246360	closeup
246360	259320	medium closeup
259320	262400	shoulder closeup
262400	265560	closeup
265560	271546	medium shot
271546	277187	medium long shot
277187	281240	medium shot
281240	287900	medium shot,[TO],medium closeup
287900	301460	medium closeup
301460	307280	shoulder closeup
307280	312600	long shot
312600	329720	medium closeup
329720	332880	long shot
332880	339760	medium closeup,[TO],shoulder closeup
339760	366200	medium shot
366200	376545	medium shot
376545	381320	shoulder closeup
381320	387360	medium long shot
387360	390920	medium long shot
