StartTime	EndTime	Value
139520	166800	medium shot
166800	173711	long shot,[TO],medium closeup
173711	175880	shoulder closeup
175880	181760	medium shot,[TO],shoulder closeup
181760	185680	medium long shot
185680	188760	closeup
188760	191280	closeup
191280	196559	long shot,[TO],medium long shot
196559	200160	medium shot,medium long shot
200160	211440	shoulder closeup,[TO],medium long shot
211440	216200	medium closeup
216200	221800	medium long shot
221800	231080	shoulder closeup
231080	238000	medium long shot
238000	242120	medium closeup
242120	244000	medium closeup
244000	252000	medium closeup,[TO],medium shot
252000	274800	shoulder closeup
274800	311560	medium shot
311560	319320	medium closeup,[TO],long shot
319320	321560	shoulder closeup
321560	326560	long shot
326560	331320	medium closeup,[TO],long shot
331320	344880	medium closeup
344880	348680	medium shot
348680	352800	shoulder closeup
352800	368920	medium closeup
368920	375760	medium shot
375760	380640	medium long shot
380640	386320	medium long shot
386320	398080	shoulder closeup
398080	404200	medium shot
