StartTime	EndTime	Value
19280	45720	medium shot
45720	48600	medium long shot
48600	55040	shoulder closeup
55040	59120	medium closeup
59120	70480	medium closeup
70480	73000	medium shot
73000	75440	shoulder closeup
75440	78280	neither
78280	81600	medium closeup
81600	86280	medium closeup
86280	89080	long shot
89080	92820	medium long shot
92820	99720	medium long shot
99720	104320	medium closeup,[TO],medium shot
104320	120120	shoulder closeup
120120	134060	medium closeup
134060	142560	medium shot,[TO],long shot
142560	168460	medium shot
168460	174760	medium long shot
174760	177800	medium long shot
177800	181220	shoulder closeup
181220	197280	medium closeup
197280	202600	long shot
202600	206114	medium long shot
206114	210400	medium closeup
210400	213640	closeup
213640	225880	shoulder closeup
225880	230700	medium long shot
230700	234120	medium closeup
234120	245780	shoulder closeup
245780	250240	medium shot,[TO],medium closeup
250240	268120	medium closeup
268120	310960	medium shot
310960	313080	shoulder closeup
313080	315440	medium closeup
315440	318140	medium long shot
318140	320840	medium shot
320840	325400	medium long shot,[TO],medium closeup
325400	330640	shoulder closeup
330640	333320	medium long shot
333320	336000	medium closeup
336000	337640	medium shot
337640	342080	medium long shot
342080	356960	shoulder closeup
356960	360400	medium closeup
360400	364920	medium shot,[TO],shoulder closeup
364920	379920	shoulder closeup
379920	382760	medium long shot
382760	387360	medium long shot
387360	391520	medium shot
391520	394160	long shot
394160	445840	medium shot
