StartTime	EndTime	Value
263340	288400	medium shot
288400	292140	closeup,[TO],medium shot
292140	293440	medium long shot
293440	301460	medium long shot,[TO],medium closeup
301460	305160	medium closeup
305160	308180	long shot
308180	322740	medium closeup
322740	330440	medium closeup
330440	333620	medium long shot
333620	338520	medium shot,[TO],medium closeup
338520	340840	closeup
340840	343520	medium long shot
343520	347360	medium closeup
347360	358760	shoulder closeup
358760	363880	medium closeup
363880	369360	medium long shot
369360	379880	medium closeup
379880	403142	medium shot
