StartTime	EndTime	Value
149920	163080	medium shot
163080	179211	long shot
179211	185440	closeup
185440	188280	medium closeup
188280	191480	long shot
191480	195560	closeup
195560	205760	medium closeup
205760	209760	long shot
209760	213320	medium long shot
213320	218560	medium long shot
218560	235920	medium closeup
235920	242360	medium closeup
242360	244200	closeup
244200	245760	shoulder closeup
245760	251800	long shot
251800	253840	closeup
253840	256800	extreme closeup
256800	269920	medium closeup
269920	286960	medium shot
286960	289880	long shot
289880	292040	medium shot
292040	294280	medium long shot
294280	296120	shoulder closeup
296120	298360	closeup
298360	300720	long shot
300720	302440	medium closeup
302440	305160	medium long shot
305160	308480	medium long shot
308480	311880	medium long shot
311880	314120	long shot
314120	330880	medium closeup
330880	333800	medium long shot
333800	337720	medium shot
337720	341360	medium long shot
341360	343800	shoulder closeup
343800	346640	medium shot
346640	348680	closeup
348680	367720	medium closeup
367720	370480	medium shot
370480	374480	medium long shot
