StartTime	EndTime	Value
19360	44240	medium shot
44240	47360	medium closeup
47360	50560	closeup
50560	53640	closeup
53640	55880	closeup
55880	58320	medium long shot
58320	60800	long shot
60800	63240	medium shot
63240	68360	medium long shot
68360	70560	medium closeup
70560	84480	shoulder closeup
84480	87160	neither
87160	89760	neither
89760	92389	neither
92389	94960	neither
94960	106960	shoulder closeup
106960	110160	medium long shot,[TO],medium closeup
110160	112840	closeup
112840	116240	medium long shot
116240	123120	shoulder closeup
123120	144080	medium long shot,[TO],medium closeup
144080	209080	medium shot
456040	468640	medium shot
468640	515120	medium closeup
