StartTime	EndTime	Value
429280	451360	medium shot
451360	460160	medium shot
460160	463560	medium closeup
463560	478920	shoulder closeup
478920	484560	medium long shot
484560	488560	long shot
488560	509304	medium closeup
509304	512080	long shot
512080	513840	medium closeup
513840	516560	long shot
516560	536400	medium closeup
536400	553560	medium long shot,[TO],medium closeup
666760	720200	medium shot
720200	725320	long shot
725320	733720	medium closeup
733720	739920	medium long shot
739920	742440	medium shot
742440	746560	medium closeup
