StartTime	EndTime	Value
150400	159060	medium shot
159060	167960	medium long shot
167960	173999	medium shot
173999	181720	medium long shot,[TO],medium shot
181720	190920	medium shot
190920	200100	medium closeup
200100	206440	long shot,[TO],medium long shot
206440	209414	extreme closeup
209414	213120	shoulder closeup
213120	217440	medium shot
217440	231560	shoulder closeup
231560	235000	medium closeup
235000	245111	shoulder closeup
245111	250200	shoulder closeup
250200	258480	shoulder closeup,[TO],medium long shot
