StartTime	EndTime	Value
19320	42120	medium shot
42120	50960	medium shot
50960	51600	neither
51600	53280	closeup
53280	55312	closeup
55312	56657	medium closeup
56657	57240	medium long shot
57240	57939	neither
57939	61360	medium shot
61360	68160	shoulder closeup
68160	69997	neither
69997	71102	extreme closeup
71102	73116	closeup
73116	75339	medium long shot,extreme closeup
75339	79985	medium shot
79985	83960	shoulder closeup
83960	87480	shoulder closeup
87480	90440	medium shot
90440	92240	shoulder closeup
92240	97560	medium long shot
97560	100080	medium long shot
100080	103120	long shot
103120	107320	neither
107320	113800	closeup
113800	131080	medium closeup
131080	186120	medium shot
