StartTime	EndTime	Value
19520	53060	medium shot
53060	54059	shoulder closeup,[TO],closeup
54059	54972	medium closeup
54972	56460	shoulder closeup
56460	60177	medium closeup
60177	62924	medium closeup
62924	64466	shoulder closeup
64466	65414	medium long shot
65414	67690	medium closeup
67690	71000	closeup,[TO],medium shot
71000	73320	medium long shot
73320	77660	shoulder closeup
77660	87280	medium shot,[TO],long shot
87280	90240	medium closeup
90240	95180	medium shot
95180	97680	closeup
97680	101840	long shot
101840	108080	shoulder closeup,[TO],medium long shot
108080	114580	shoulder closeup
114580	117040	medium shot
117040	130100	shoulder closeup
130100	138500	medium shot,[TO],medium closeup
138500	146200	medium long shot
146200	167920	shoulder closeup
