StartTime	EndTime	Value
1080940	1100660	medium long shot
1100660	1106500	medium shot,[TO],medium closeup
1106500	1114500	shoulder closeup,[TO],medium shot
1114500	1120980	medium closeup
1120980	1122380	medium closeup
1122380	1123420	medium closeup
1123420	1124660	medium shot
1124660	1126820	medium long shot
1126820	1128540	medium closeup
1128540	1130340	medium shot
1130340	1132140	medium long shot
1132140	1134380	medium long shot
1134380	1138980	medium closeup
1138980	1141980	medium long shot
1141980	1145220	medium closeup
1145220	1147900	shoulder closeup
1147900	1152620	medium closeup
1152620	1154980	medium shot
1154980	1156260	medium closeup
1156260	1158900	shoulder closeup
1158900	1160260	medium closeup
1160260	1161980	medium shot
1161980	1163460	medium long shot
1163460	1164460	medium shot
1164460	1166460	long shot
1166460	1168020	medium long shot
1168020	1168940	medium shot
1168940	1169940	shoulder closeup
1169940	1171500	medium long shot
1171500	1173700	medium long shot
1173700	1178380	medium closeup
1178380	1180940	medium shot
1180940	1182140	medium long shot
1182140	1183700	medium closeup
1183700	1184780	medium closeup
1184780	1186580	medium long shot
1186580	1187820	shoulder closeup
1187820	1189180	medium closeup
1189180	1190140	medium closeup
1190140	1192100	medium closeup
1192100	1193660	medium closeup
1193660	1194540	medium long shot
1194540	1195460	medium long shot
1195460	1197180	shoulder closeup
1197180	1199500	medium shot
1199500	1200780	medium closeup
1200780	1214460	medium shot
1214460	1219780	medium closeup
1219780	1221500	medium long shot
1221500	1226100	medium closeup
1226100	1229940	medium closeup
1229940	1233420	medium closeup
1233420	1236100	medium closeup
1236100	1239180	medium closeup
1239180	1241260	medium long shot
1241260	1243420	medium long shot
1243420	1245020	medium long shot
1245020	1246700	medium long shot
1246700	1252580	medium long shot
1252580	1256860	medium shot
1256860	1258220	medium long shot
1258220	1259500	medium closeup
1259500	1261060	medium long shot
1261060	1263660	medium closeup
1263660	1267300	medium shot
1267300	1268620	medium shot
1268620	1271860	medium shot
1271860	1272980	medium shot
1272980	1274180	medium closeup
1274180	1274860	medium closeup
1274860	1278180	medium shot
1278180	1283140	medium closeup
1283140	1287620	medium shot
1287620	1294940	medium shot
1294940	1299900	medium closeup
1299900	1307860	medium closeup
1307860	1311740	medium closeup
1311740	1315820	medium closeup
1315820	1320820	medium shot
1320820	1324500	medium long shot,[TO],medium shot
1324500	1329700	medium shot
1329700	1330740	medium long shot
1330740	1332820	medium closeup
1332820	1335460	medium closeup
1335460	1337100	medium closeup
1337100	1341300	shoulder closeup
1341300	1342900	shoulder closeup
1342900	1348540	shoulder closeup
1348540	1350740	shoulder closeup
1350740	1352220	shoulder closeup
1352220	1354540	shoulder closeup
1354540	1356900	shoulder closeup
1356900	1360220	shoulder closeup
1360220	1362220	medium long shot
1362220	1364660	shoulder closeup
1364660	1366140	medium closeup
1366140	1367620	medium closeup
1367620	1369940	shoulder closeup
1369940	1376300	medium shot
1376300	1378100	medium long shot
1378100	1380140	medium shot
1380140	1387660	medium long shot
1387660	1396220	long shot
1396220	1402820	medium shot
1402820	1405980	long shot
1405980	1411180	medium shot
1411180	1429860	medium long shot
1429860	1445060	medium long shot
1445060	1450220	medium shot
1450220	1452100	medium closeup
1452100	1458660	medium closeup
1458660	1460980	medium closeup
1460980	1462340	medium closeup
1462340	1464620	medium closeup
1464620	1471940	medium closeup,[TO],medium shot
1471940	1474260	medium closeup
1474260	1476660	medium long shot
1476660	1478260	medium closeup
1478260	1480340	medium shot
1480340	1481460	medium closeup
1481460	1482980	medium shot
1482980	1484500	medium closeup
1484500	1485380	medium shot
1485380	1487420	medium closeup
1487420	1490260	medium shot
1490260	1491420	medium closeup
1491420	1492500	medium shot
1492500	1495620	medium long shot
1495620	1502220	medium shot
1502220	1503820	medium closeup
1503820	1507740	medium long shot
1507740	1509540	medium long shot
1509540	1514260	medium shot
1514260	1515820	medium closeup
1515820	1520100	medium shot
1520100	1521060	medium closeup
1521060	1524020	medium shot
1524020	1527980	medium closeup
1527980	1533620	medium closeup
1533620	1540980	medium closeup
1540980	1551060	medium shot
1551060	1555260	medium closeup
1555260	1561020	medium closeup
1561020	1567220	shoulder closeup
1567220	1574100	medium long shot
1574100	1587700	medium long shot
1587700	1602060	medium shot
1602060	1605900	medium closeup
1605900	1614300	medium closeup
1614300	1618740	medium long shot
1618740	1624820	medium shot
1624820	1635980	medium shot
1635980	1640780	medium closeup
