StartTime	EndTime	Value
709166	709583	long shot
709583	710250	closeup
710250	710708	closeup
710708	710750	neither
710750	711208	long shot
711208	711375	neither
711375	711744	closeup
711744	711833	closeup
711833	712438	closeup
712438	712666	closeup
712666	713541	closeup,medium closeup
713541	713916	extreme closeup
713916	715083	shoulder closeup
715083	715791	medium shot
715791	716416	medium long shot
716416	718333	medium shot
718333	722000	medium closeup
722000	723375	medium shot
723375	724458	extreme closeup
724458	727333	closeup
727333	727875	extreme closeup
727875	729166	extreme closeup
729166	735646	medium long shot
735646	741958	closeup
741958	746083	closeup,[TO],shoulder closeup
746083	751958	shoulder closeup
751958	754791	medium shot
754791	760208	shoulder closeup
760208	761166	medium shot
761166	766438	shoulder closeup
766438	768521	closeup
768521	771291	closeup
771291	772625	shoulder closeup
772625	774791	closeup
774791	778916	medium shot
778916	786583	shoulder closeup,[TO],medium closeup
786583	795666	medium shot
795666	808008	medium closeup,[TO],extreme closeup
808008	810813	extreme closeup
810813	811708	medium long shot
811708	813083	extreme closeup
813083	814416	medium shot
814416	815791	medium long shot
815791	818875	extreme closeup
818875	821000	shoulder closeup,[TO],closeup
821000	822479	closeup
822479	823416	shoulder closeup
823416	825041	shoulder closeup
825041	826541	shoulder closeup
826541	828208	closeup
828208	829791	closeup
829791	840500	medium long shot,[TO],medium shot
840500	846166	closeup,[TO],shoulder closeup
846166	855458	medium long shot,[TO],medium shot
855458	857375	closeup
857375	862416	medium closeup
862416	868916	shoulder closeup
868916	880291	medium closeup
880291	887541	medium closeup,[TO],shoulder closeup
887541	893875	medium closeup
893875	897291	shoulder closeup
897291	902708	shoulder closeup
902708	908250	shoulder closeup
908250	911541	shoulder closeup
911541	924791	shoulder closeup
924791	931000	closeup
931000	947563	shoulder closeup,[TO],closeup
947563	965458	shoulder closeup,[TO],long shot
965458	970063	medium closeup
970063	971188	long shot
971188	972291	medium shot
972291	975875	medium shot
975875	976875	shoulder closeup
976875	977875	medium long shot
977875	987375	medium shot
987375	993083	shoulder closeup
993083	998188	shoulder closeup
