StartTime	EndTime	Value
2045729	2048039	medium closeup,[TO],closeup
2048039	2051559	long shot
2051559	2053281	medium closeup
2053281	2057319	shoulder closeup
2057319	2060239	long shot
2060239	2064771	long shot
2064771	2068896	medium closeup
2068896	2073500	long shot
2073500	2076000	medium closeup
2076000	2079813	long shot
2079813	2083120	long shot
2083120	2084500	shoulder closeup
2084500	2091200	medium closeup
2091200	2093400	shoulder closeup
2093400	2095440	medium closeup
2095440	2100604	shoulder closeup
2100604	2103360	medium closeup
2103360	2108000	medium long shot
2108000	2117800	closeup,long shot
2117800	2125646	closeup,long shot
2125646	2132160	medium closeup
2132160	2138480	closeup
2138480	2142840	closeup
2142840	2147400	extreme closeup
2147400	2157440	shoulder closeup
2157440	2166160	medium closeup
2166160	2180080	shoulder closeup
2180080	2188646	medium closeup
2188646	2191646	medium long shot
2191646	2194360	medium shot
2194360	2196351	medium closeup
