"mediauri","title"
"http://ada.cinepoetics.org/resource/media/d0b7f0fe9b8b72ab027fddab188da0a4d698fa501689a046e3e8c7c1b497b3ba","Tagesschau 2008-02-09"
"http://ada.cinepoetics.org/resource/media/e750b9d78370f3e1a159c623d88ebfd714e06e92200aa00337b5b8b9e02abce9","Tagesschau 2008-02-13"
"http://ada.cinepoetics.org/resource/media/e3339be533205f812bd6d5d9b8d843f562399334227427adeb3ef25c6612f9c6","Tagesschau 2008-02-14"
"http://ada.cinepoetics.org/resource/media/b0c2e4dce02101e52a799d206fbc785a852a49633f0f796d6e4c32f0e1a21fc9","Tagesschau 2008-02-15"
"http://ada.cinepoetics.org/resource/media/4bfbb34c17ef087799fc2847a6ee396b8dbcb87afdd812ed3c9f8b58f5bb7b86","Tagesschau 2008-02-17"
"http://ada.cinepoetics.org/resource/media/92b418f3acdf8e4d11c6b445cce6d270cda460344d3ce64d88d8cddf57fb4bcb","Tagesschau 2008-02-19"
"http://ada.cinepoetics.org/resource/media/18a541d8404d2c1870ea31c0b464e223d1985214ea0d8d7c9e90702a3f415df0","Tagesschau 2008-03-18"
"http://ada.cinepoetics.org/resource/media/4b52fc0b1cd1d5d0b773f9201d391912d3ecd8a7aa2da318fec684a1bc8f3e64","Tagesschau 2008-03-20"
"http://ada.cinepoetics.org/resource/media/2913576c4b39166b460e097c89abd9038ca452f15c2a8755accd247947885ebb","Tagesschau 2008-03-26"
"http://ada.cinepoetics.org/resource/media/df760127b2603e18a70fbdd4453cad3143ed5893ed9d8ecdd43a7e10f4aed815","Tagesschau 2008-03-27"
"http://ada.cinepoetics.org/resource/media/87516ac00146f053c4623fec9f53b9d0d271c8d261df9c5d71d958117274c26a","Tagesschau 2008-03-28"
"http://ada.cinepoetics.org/resource/media/63328cc5c689bf2a54afaa9ba24cd78d3a700a2fca2d302eb18a705879248bb9","Tagesschau 2008-03-29"
"http://ada.cinepoetics.org/resource/media/5b4eb0d74927919c5d168a911a98905cdc48caeae0acf69069a10b081048f5cc","Tagesschau 2008-03-31"
"http://ada.cinepoetics.org/resource/media/233c7a52c52b0497d91a460a1aea5b289dc86caf5388fb419a4aeca5651e909b","Tagesschau 2008-04-01"
"http://ada.cinepoetics.org/resource/media/e0cdd7137e5b03a38599ae62b3985d2bcd5e9009a72fff14df029841bdce56d8","Tagesschau 2008-04-02"
"http://ada.cinepoetics.org/resource/media/365552a5895ca2e56713a31bf1fe5f1f2bc52314e73bb1c6d8b65912b2b99cba","Tagesschau 2008-04-03"
"http://ada.cinepoetics.org/resource/media/717409e4b780817f8b41ac8168098d1f203e9dd9157a27437243e4c95231b781","Tagesschau 2008-04-09"
