StartTime	EndTime	Value
139960	161120	medium shot
161120	165780	medium shot
165780	172440	medium long shot
172440	174300	medium shot
174300	178760	medium shot
178760	185700	medium closeup
185700	189000	medium closeup
189000	199200	shoulder closeup
199200	204640	medium shot,[TO],medium long shot
204640	206680	medium shot
206680	212960	medium closeup
212960	219876	medium long shot,[TO],medium shot
219876	221360	medium closeup,[TO],medium shot
221360	223760	closeup
223760	234320	medium long shot,[TO],medium shot
234320	242680	shoulder closeup
242680	261200	shoulder closeup
261200	281800	medium shot
281800	285000	medium long shot
285000	287680	medium shot
287680	290200	medium closeup
290200	293080	shoulder closeup
293080	297400	medium closeup,[TO],long shot
297400	307931	shoulder closeup
307931	323060	shoulder closeup
323060	330880	medium long shot
330880	338680	shoulder closeup
338680	341080	medium shot
341080	344560	long shot
344560	356424	medium closeup
356424	367460	medium closeup
367460	370480	medium shot
370480	375360	medium long shot
375360	428440	medium shot
