StartTime	EndTime	Value
139680	198160	medium shot
198160	201360	long shot
201360	205760	medium long shot,[TO],medium shot
205760	208720	shoulder closeup
208720	212240	medium shot
212240	214591	medium shot
214591	216960	medium long shot
216960	219640	medium long shot
219640	230380	medium closeup
230380	231980	medium shot
231980	238880	medium long shot
238880	243600	medium shot,[TO],medium long shot
243600	247320	medium shot
247320	261120	shoulder closeup
261120	269640	medium long shot
269640	279138	shoulder closeup
279138	290480	medium closeup,[TO],long shot
