StartTime	EndTime	Value
19320	50400	medium shot
50400	52600	medium closeup
52600	55040	medium long shot
55040	57040	shoulder closeup
57040	59840	medium long shot
59840	62080	medium long shot
62080	63920	shoulder closeup
63920	65960	shoulder closeup
65960	71200	medium long shot
71200	90840	medium closeup
90840	99200	closeup,[TO],long shot
99200	113600	medium closeup
113600	114800	closeup
114800	118000	medium closeup
118000	120480	long shot
120480	125040	medium shot
125040	129080	shoulder closeup
129080	138280	shoulder closeup
138280	141120	shoulder closeup
141120	144360	long shot
144360	173760	medium shot
173760	182360	medium shot
182360	185440	medium closeup
185440	207680	medium closeup
207680	218285	extreme long shot
218325	221440	closeup
221440	224200	long shot
224200	235840	shoulder closeup
235840	243760	medium long shot
243760	263760	medium closeup
263760	294280	medium shot
294280	300000	medium long shot,[TO],medium shot
300000	302800	shoulder closeup
302800	306120	long shot
306120	312800	closeup
312800	316840	medium long shot
316840	329360	medium closeup
329360	334440	shoulder closeup
334440	339226	long shot
339226	341920	closeup
341920	346960	shoulder closeup
346960	350880	medium shot
350880	353640	long shot
353640	360040	medium long shot,[TO],closeup
360040	385320	medium closeup
