StartTime	EndTime	Value
260880	289480	medium shot
289480	295440	shoulder closeup,[TO],medium closeup
295440	297840	medium long shot
297840	301360	medium shot
301360	307520	medium closeup
307520	312600	medium closeup,[TO],medium shot
312600	318400	long shot
318400	333120	shoulder closeup
333120	338600	medium closeup
338600	342320	medium closeup,[TO],medium shot
342320	349840	long shot
349840	356680	medium closeup
356680	360480	long shot
360480	368840	medium closeup
368840	385360	closeup,[TO],shoulder closeup
385360	406280	medium shot
406280	417443	medium closeup
417443	420280	long shot
420280	423000	medium closeup
423000	426760	medium closeup
426760	441560	medium closeup
441560	445000	long shot
445000	447640	medium long shot
447640	456297	medium closeup
456297	467320	medium closeup
467320	472960	long shot
472960	476160	closeup
476160	480680	shoulder closeup
480680	495320	medium closeup
