StartTime	EndTime	Value
19400	49920	medium shot
49920	55200	medium shot
55200	57880	long shot
57880	60520	medium closeup
60520	63640	medium long shot
63640	75440	medium shot
75440	78760	closeup
78760	82280	medium long shot
82280	85240	long shot
85240	93680	shoulder closeup
93680	96560	long shot
96560	99360	medium closeup
99360	103080	medium long shot
103080	115280	medium shot
115280	119800	shoulder closeup
119800	123080	medium long shot
123080	126160	long shot
126160	135280	medium closeup
135280	139760	medium shot
139760	154840	medium closeup
154840	173000	medium shot
173000	175786	medium long shot
175786	178560	medium shot
178560	184400	medium closeup,[TO],medium long shot
184400	189360	medium long shot
189360	196440	medium shot,[TO],medium closeup
196440	200120	medium long shot
200120	215240	medium closeup
215240	223520	shoulder closeup
223520	227360	medium closeup
227360	230080	long shot
230080	233080	medium closeup,[TO],shoulder closeup
233080	234880	medium closeup
234880	237120	medium closeup
237120	240320	medium long shot
240320	243160	medium shot
243160	245880	medium shot
245880	248840	medium shot
248840	257200	shoulder closeup
257200	275040	medium long shot,[TO],medium closeup
275040	297840	medium shot
297840	313680	medium shot
313680	315920	medium long shot
315920	330155	medium closeup
330155	334200	long shot
334200	341200	medium shot,[TO],medium long shot
341200	344520	medium shot
344520	359000	medium closeup
359000	363560	medium long shot
363560	366520	shoulder closeup
366520	369035	extreme closeup
369035	371456	medium closeup
371456	373840	medium closeup,[TO],medium shot
373840	375680	medium closeup
375680	390160	medium closeup
