StartTime	EndTime	Value
19680	48000	medium shot
48000	54840	medium closeup
54840	60160	medium shot
60160	75600	medium shot
75600	81560	medium long shot
81560	83760	medium long shot
83760	93240	shoulder closeup
93240	111440	neither
111440	127520	medium shot
127520	137200	medium shot
137200	141240	medium closeup
141240	148540	long shot
148540	151640	medium long shot
151640	159060	medium closeup
159060	167760	medium closeup,[TO],medium long shot
167760	187920	medium shot
187920	190960	medium long shot
190960	193520	medium closeup
193520	195880	medium shot
195880	199720	medium long shot
199720	201580	medium long shot
201580	203940	medium closeup,[TO],medium shot
203940	206860	medium long shot
206860	208880	medium shot,[TO],closeup
208880	212080	medium shot
212080	215600	shoulder closeup
215600	230840	medium closeup
230840	237160	medium closeup,[TO],medium long shot
237160	241920	medium shot
241920	246220	medium shot
246220	251400	medium shot,[TO],medium long shot
251400	262440	medium closeup
262440	267640	medium closeup
267640	269320	medium shot
269320	271040	medium closeup
271040	289280	medium closeup
289280	297960	medium shot,[TO],shoulder closeup
297960	330420	medium shot
