StartTime	EndTime	Value
216600	235200	medium shot
235200	239240	long shot
239240	241640	medium shot
241640	244760	medium closeup
244760	249000	medium long shot
249000	251960	medium closeup
251960	265040	medium closeup
265040	268680	medium closeup
268680	275440	medium long shot
275440	280000	medium long shot
280000	283680	medium long shot
283680	286920	medium closeup
286920	295160	medium closeup,[TO],long shot
295160	299520	medium shot
299520	304000	medium long shot
304000	321680	shoulder closeup
321680	326080	closeup
326080	330080	long shot
330080	350560	medium shot
350560	360293	medium long shot,[TO],medium closeup
360293	363920	shoulder closeup
363920	371000	closeup,[TO],long shot
371000	373680	medium long shot
373680	378440	closeup
378440	390053	medium closeup
390053	395160	long shot
395160	399120	medium closeup
399120	415200	medium closeup
415200	420200	medium long shot
420200	423840	long shot
423840	431080	medium shot
