StartTime	EndTime	Value
269400	298840	medium shot
298840	302920	medium shot
302920	306520	medium closeup
306520	309520	shoulder closeup
309520	311520	closeup
311520	315120	medium long shot,[TO],medium shot
315120	326960	medium closeup
326960	340400	medium closeup
340400	346600	medium long shot,[TO],medium shot
346600	352800	medium shot
352800	355400	medium shot
355400	374760	medium closeup
374760	382160	medium closeup,[TO],medium shot
382160	387880	long shot
387880	413280	medium shot
413280	424160	medium shot,[TO],medium long shot
424160	426600	medium shot
426600	442120	shoulder closeup
442120	445720	medium long shot
445720	448840	medium closeup
448840	451560	long shot
451560	456240	medium long shot
456240	461640	medium long shot
461640	470920	medium shot
470920	481160	medium closeup
481160	486640	long shot
486640	494360	medium closeup
494360	498772	medium closeup,[TO],medium long shot
498772	502520	long shot
502520	505800	shoulder closeup
505800	521160	medium closeup
521160	525920	long shot,[TO],medium long shot
525920	532440	medium shot
532440	535040	medium closeup
535040	538800	medium long shot
538800	540760	long shot
540760	544240	medium shot
544240	547840	medium closeup
547840	551040	medium long shot
551040	552920	medium long shot
552920	560880	medium shot
560880	582520	neither
