StartTime	EndTime	Value
275440	337120	medium shot
337120	340400	medium shot
340400	344880	long shot
344880	361320	shoulder closeup
361320	367680	shoulder closeup,[TO],medium long shot
367680	371440	medium closeup
371440	374240	shoulder closeup
374240	376720	medium long shot
376720	384080	shoulder closeup
384080	387520	shoulder closeup
387520	390920	long shot
390920	394720	long shot
394720	415160	medium long shot
415160	425520	medium closeup
425520	443120	long shot,[TO],medium shot
443120	495960	medium shot
495960	497680	long shot
497680	503709	medium closeup
503709	508960	long shot
508960	511680	medium long shot,[TO],medium closeup
511680	514400	medium shot
514400	517320	long shot
517320	522720	extreme long shot
522720	529360	long shot,[TO],medium closeup
529360	536600	medium shot
536600	546960	shoulder closeup
546960	552160	medium long shot,[TO],medium shot
552160	558440	medium shot,[TO],medium closeup
558440	576560	shoulder closeup
576560	580040	shoulder closeup
580040	582920	medium long shot
582920	632080	medium shot
