StartTime	EndTime	Value
288760	311480	medium shot
311480	313080	medium closeup
313080	315000	long shot
315000	317600	extreme closeup
317600	319840	medium shot
319840	322800	closeup
322800	325440	shoulder closeup
325440	330680	shoulder closeup
330680	340720	shoulder closeup
340720	348880	long shot
348880	354040	medium long shot
354040	357040	long shot
357040	362800	long shot
362800	373360	shoulder closeup
373360	378480	medium long shot
378480	384000	shoulder closeup
384000	405000	shoulder closeup
