StartTime	EndTime	Value
19713	47640	medium shot
47640	54000	shoulder closeup,[TO],medium closeup
54000	61200	medium shot,[TO],medium long shot (tbd)
61200	73020	neither
73020	80900	medium closeup
80900	87680	extreme long shot
87680	96160	shoulder closeup,[TO],medium shot
96160	114320	medium closeup
114320	120040	closeup,[TO],shoulder closeup
120040	122020	medium closeup
122020	128720	medium shot
128720	136640	shoulder closeup
136640	143840	long shot,[TO],medium shot
143840	152640	medium long shot,[TO],medium shot
152640	175360	medium shot
175360	182240	medium long shot
182240	189440	shoulder closeup,[TO],medium shot
189440	199560	shoulder closeup
199560	206400	medium long shot,[TO],medium closeup
206400	210960	medium closeup
210960	214880	shoulder closeup
214880	231080	shoulder closeup
231080	234520	long shot
234520	238240	medium long shot
238240	241440	medium shot,[TO],shoulder closeup
241440	250560	medium closeup
250560	259400	medium shot,[TO],shoulder closeup
